
local KeyMap = {
	ID = 1,
	OpenDays = 2,
	Rank1 = 3,
	Reward1 = 4,
	Reward1Num = 5,
	Rank2 = 6,
	Reward2 = 7,
	Reward2Num = 8,
	Rank3 = 9,
	Reward3 = 10,
	Reward3Num = 11,
	Rank4 = 12,
	Reward4 = 13,
	Reward4Num = 14,
	Rank5 = 15,
	Reward5 = 16,
	Reward5Num = 17,
	Rank6 = 18,
	Reward6 = 19,
	Reward6Num = 20,
	Rank7 = 21,
	Reward7 = 22,
	Reward7Num = 23,
	Rank8 = 24,
	Reward8 = 25,
	Reward8Num = 26,

}

local R = {
	_1 = {104101,2,300000010,7,6},
	_2 = {104101,2,7,6},
}

local GNActivRankList = 
{
	[1]=
	{
		1,
		2,
		1,
		R._1,
		{30,1500,4,50,60},
		2,
		R._1,
		{25,1500,3,50,60},
		4,
		R._1,
		{20,1500,2,50,60},
		11,
		R._1,
		{16,1500,1,50,60},
		21,
		R._2,
		{12,1500,50,60},
		51,
		R._2,
		{10,1500,50,60},
		101,
		R._2,
		{8,1500,50,60},
		201,
		R._2,
		{8,600,50,60},
	},
	[2]=
	{
		2,
		4,
		1,
		R._1,
		{36,1500,4,100,60},
		2,
		R._1,
		{30,1500,3,100,60},
		4,
		R._1,
		{24,1500,2,100,60},
		11,
		R._1,
		{19,1500,1,100,60},
		21,
		R._2,
		{14,1500,100,60},
		51,
		R._2,
		{12,1500,100,60},
		101,
		R._2,
		{10,1500,100,60},
		201,
		R._2,
		{10,600,100,60},
	},
	[3]=
	{
		3,
		8,
		1,
		R._1,
		{42,1500,4,150,60},
		2,
		R._1,
		{35,1500,3,150,60},
		4,
		R._1,
		{28,1500,2,150,60},
		11,
		R._1,
		{22,1500,1,150,60},
		21,
		R._2,
		{17,1500,150,60},
		51,
		R._2,
		{14,1500,150,60},
		101,
		R._2,
		{11,1500,150,60},
		201,
		R._2,
		{11,600,150,60},
	},
	[4]=
	{
		4,
		18,
		1,
		R._1,
		{48,1500,4,200,60},
		2,
		R._1,
		{40,1500,3,200,60},
		4,
		R._1,
		{32,1500,2,200,60},
		11,
		R._1,
		{26,1500,1,200,60},
		21,
		R._2,
		{19,1500,200,60},
		51,
		R._2,
		{16,1500,200,60},
		101,
		R._2,
		{13,1500,200,60},
		201,
		R._2,
		{13,600,200,60},
	},
	[5]=
	{
		5,
		43,
		1,
		R._1,
		{54,1500,4,250,60},
		2,
		R._1,
		{45,1500,3,250,60},
		4,
		R._1,
		{36,1500,2,250,60},
		11,
		R._1,
		{29,1500,1,250,60},
		21,
		R._2,
		{22,1500,250,60},
		51,
		R._2,
		{18,1500,250,60},
		101,
		R._2,
		{14,1500,250,60},
		201,
		R._2,
		{14,600,250,60},
	},
	[6]=
	{
		6,
		103,
		1,
		R._1,
		{60,1500,4,300,60},
		2,
		R._1,
		{50,1500,3,300,60},
		4,
		R._1,
		{40,1500,2,300,60},
		11,
		R._1,
		{32,1500,1,300,60},
		21,
		R._2,
		{24,1500,300,60},
		51,
		R._2,
		{20,1500,300,60},
		101,
		R._2,
		{16,1500,300,60},
		201,
		R._2,
		{16,600,300,60},
	},
	[7]=
	{
		7,
		193,
		1,
		R._1,
		{66,1500,4,350,60},
		2,
		R._1,
		{55,1500,3,350,60},
		4,
		R._1,
		{44,1500,2,350,60},
		11,
		R._1,
		{35,1500,1,350,60},
		21,
		R._2,
		{26,1500,350,60},
		51,
		R._2,
		{22,1500,350,60},
		101,
		R._2,
		{18,1500,350,60},
		201,
		R._2,
		{18,600,350,60},
	},

}

do
    MT(KeyMap, GNActivRankList)
end

return GNActivRankList
